--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20120411 00:00	47.6	47.6	47.6	50	29.9	1	3	315	0.00	29.810	0	0.002	-100000.0
20120411 00:05	47.5	47.5	47.5	51	30.3	0	3	315	0.00	29.810	0	0.000	-100000.0
20120411 00:10	47.3	47.3	47.3	51	30.1	1	4	315	0.00	29.810	0	0.000	-100000.0
20120411 00:15	47.2	47.2	47.2	51	30.0	0	3	315	0.00	29.812	0	0.000	-100000.0
20120411 00:20	47.0	47.0	47.0	52	30.3	0	2	315	0.00	29.812	0	0.000	-100000.0
20120411 00:25	46.8	46.8	46.8	52	30.1	0	2	315	0.00	29.812	0	0.000	-100000.0
20120411 00:30	46.6	46.6	46.6	52	29.9	0	1	315	0.00	29.815	0	0.000	-100000.0
20120411 00:35	46.5	46.5	46.5	53	30.3	0	0	-100000	0.00	29.815	0	0.000	-100000.0
20120411 00:40	46.3	46.3	46.3	52	29.6	0	1	315	0.00	29.815	0	0.000	-100000.0
20120411 00:45	46.1	46.1	46.1	53	29.9	0	2	315	0.00	29.819	0	0.000	-100000.0
20120411 00:50	45.8	45.8	45.8	54	30.1	0	3	315	0.00	29.819	0	0.000	-100000.0
20120411 00:55	45.5	45.5	45.5	55	30.3	0	3	315	0.00	29.819	0	0.000	-100000.0
20120411 01:00	45.4	45.4	45.4	55	30.2	0	2	315	0.00	29.818	0	0.001	-100000.0
20120411 01:05	45.4	45.4	45.4	55	30.2	0	2	315	0.00	29.818	0	0.000	-100000.0
20120411 01:10	45.1	45.1	45.1	55	29.9	0	2	315	0.00	29.818	0	0.000	-100000.0
20120411 01:15	45.0	45.0	45.0	56	30.3	0	2	315	0.00	29.815	0	0.000	-100000.0
20120411 01:20	45.0	45.0	45.0	56	30.3	0	1	315	0.00	29.815	0	0.000	-100000.0
20120411 01:25	44.8	44.8	44.8	56	30.1	1	3	315	0.00	29.815	0	0.000	-100000.0
20120411 01:30	44.5	44.5	44.5	56	29.8	0	0	-100000	0.00	29.815	0	0.000	-100000.0
20120411 01:35	44.6	44.6	44.6	57	30.3	2	5	315	0.00	29.815	0	0.000	-100000.0
20120411 01:40	44.7	44.7	44.7	56	30.0	1	4	315	0.00	29.815	0	0.000	-100000.0
20120411 01:45	44.6	44.6	44.6	56	29.9	1	5	315	0.00	29.814	0	0.000	-100000.0
20120411 01:50	44.6	44.6	44.6	56	29.9	1	6	315	0.00	29.814	0	0.000	-100000.0
20120411 01:55	44.2	44.2	44.2	57	29.9	0	0	-100000	0.00	29.814	0	0.000	-100000.0
20120411 02:00	43.8	43.8	43.8	58	30.0	0	1	315	0.00	29.812	0	0.001	-100000.0
20120411 02:05	43.5	43.5	43.5	58	29.7	0	1	315	0.00	29.812	0	0.000	-100000.0
20120411 02:10	43.3	43.3	43.3	58	29.5	0	1	315	0.00	29.812	0	0.000	-100000.0
20120411 02:15	43.3	43.3	43.3	58	29.5	0	2	315	0.00	29.810	0	0.000	-100000.0
20120411 02:20	43.3	43.3	43.3	59	29.9	0	1	315	0.00	29.810	0	0.000	-100000.0
20120411 02:25	43.2	43.2	43.2	59	29.9	0	0	-100000	0.00	29.810	0	0.000	-100000.0
20120411 02:30	43.0	43.0	43.0	59	29.7	0	2	315	0.00	29.809	0	0.000	-100000.0
20120411 02:35	42.9	42.9	42.9	60	30.0	0	1	315	0.00	29.809	0	0.000	-100000.0
20120411 02:40	42.8	42.8	42.8	60	29.9	0	1	315	0.00	29.809	0	0.000	-100000.0
20120411 02:45	42.6	42.6	42.6	60	29.7	0	1	315	0.00	29.809	0	0.000	-100000.0
20120411 02:50	42.4	42.4	42.4	61	29.9	0	1	315	0.00	29.809	0	0.000	-100000.0
