--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
20121105 00:00	40.9	37.5	40.9	65	30.1	5	13	0	0.00	29.991	0	0.001	-100000.0
20121105 00:05	40.7	36.0	40.7	64	29.5	7	16	22	0.00	29.991	0	0.000	-100000.0
20121105 00:10	40.6	37.2	40.6	65	29.8	5	13	0	0.00	29.991	0	0.000	-100000.0
20121105 00:15	40.5	37.9	40.5	64	29.3	4	10	0	0.00	29.996	0	0.000	-100000.0
20121105 00:20	40.4	35.6	40.4	64	29.2	7	16	45	0.00	29.996	0	0.000	-100000.0
20121105 00:25	40.2	37.5	40.2	64	29.0	4	11	22	0.00	29.996	0	0.000	-100000.0
20121105 00:30	40.1	37.4	40.1	64	28.9	4	13	0	0.00	29.999	0	0.000	-100000.0
20121105 00:35	40.0	36.5	40.0	64	28.8	5	12	22	0.00	29.999	0	0.000	-100000.0
20121105 00:40	39.8	35.5	39.8	64	28.6	6	14	22	0.00	29.999	0	0.000	-100000.0
20121105 00:45	39.7	37.0	39.7	64	28.5	4	15	22	0.00	30.000	0	0.000	-100000.0
20121105 00:50	39.7	39.7	39.7	64	28.5	3	11	0	0.00	30.000	0	0.000	-100000.0
20121105 00:55	39.6	39.6	39.6	64	28.4	2	6	22	0.00	30.000	0	0.000	-100000.0
20121105 01:00	39.5	35.9	39.5	64	28.3	5	12	22	0.00	30.003	0	0.001	-100000.0
20121105 01:05	39.4	39.4	39.4	64	28.3	3	11	0	0.00	30.003	0	0.000	-100000.0
20121105 01:10	39.3	39.3	39.3	64	28.2	3	7	45	0.00	30.003	0	0.000	-100000.0
20121105 01:15	39.3	39.3	39.3	64	28.2	2	5	45	0.00	30.008	0	0.000	-100000.0
20121105 01:20	39.2	36.4	39.2	64	28.1	4	11	22	0.00	30.008	0	0.000	-100000.0
20121105 01:25	39.1	39.1	39.1	64	28.0	3	9	22	0.00	30.008	0	0.000	-100000.0
20121105 01:30	38.9	36.0	38.9	64	27.8	4	11	22	0.00	30.007	0	0.000	-100000.0
20121105 01:35	38.9	38.9	38.9	64	27.8	3	9	0	0.00	30.007	0	0.000	-100000.0
20121105 01:40	38.8	38.8	38.8	64	27.7	2	6	45	0.00	30.007	0	0.000	-100000.0
